"Table","FieldCount","PhysicalName","LogicalDatabase","Connection","KeyFields","FirstFields"
"Pci","13","Pci","Pci","_127_0_0_1_Opentrans","IDPci, Pci_expedition, IDExpedition, Regul_dechargement, IDExpeditionColis, Transmis_vers_site_central","IDPci, Pci_expedition, Colis, IDExpedition, Scanee_dechargement, Regul_dechargement, IDExpeditionColis, Transmis_vers_site_central, Reference_unique_gls, Colis_totaux, Etiquette_En_Duplicata, Scanner"
"Temp_stat_plateforme","13","Temp_stat_plateforme","Temp_stat_plateforme","_127_0_0_1_Opentrans","IDTemp_stat_plateforme, Numdisque, Code_plateforme","IDTemp_stat_plateforme, Numdisque, Code_plateforme, date, Nb_pos_arr, Nb_pos_depart, Poids_arr, Poids_depart, C_A_traction_arr, Sst_traction_dep, Num_compte, Valorisation_cout_traction_Arr"
"Plateforme","12","Plateforme","Plateforme","_127_0_0_1_Opentrans","Idplateforme, Code_plateforme","Idplateforme, Code_plateforme, Libelle, IDClients, Cout_Journalier, Cout_a_la_tonne, type_fichier_colisage, Code_produit, Prix, Forfait, Tonne, Qte_taxable"
"Reception","12","Reception","Reception","_127_0_0_1_Opentrans","IDReception, IDOptimizer","IDReception, Repertoire_reception, Nom_fichier_reception, Interface_de_reception, Commentaire, Repertoire_emission, Interface_emission, Repertoire_archivage, Type_de_fichier, Repertoire_faxdata, Optimiseur, IDOptimizer"
"Detas","12","Detas","Detas","_127_0_0_1_Opentrans","IDDetas, IDEntas, transmis","IDDetas, IDEntas, Date_as, Situation, Justification, Commentaire, transmis, type_transmission, date_ar, heure_ar, Date_lecture, Heure_lecture"
"Entas","12","Entas","Entas","_127_0_0_1_Opentrans","IDEntas, Sold�e, Numero_as, Status","IDEntas, AA, MM, Numero_posititon, reference_edi, Sold�e, Siret_emetteur, Code_Visapack, Quantieme, Chrono, Numero_as, Status"
"StatCa","12","StatCa","StatCa","_127_0_0_1_Opentrans","IDStatCa, cle_unique_agencecode_clientscode_produitAAMM, cle_unique_agencecode_clientsAAMM","IDStatCa, cle_unique_agence, code_clients, code_produit, AA, MM, Colis, Poids, Nb_pos, Chiffre_d_affaire, cle_unique_agencecode_clientscode_produitAAMM, cle_unique_agencecode_clientsAAMM"
"Hisenl","11","Hisenl","Hisenl","_127_0_0_1_Opentrans","IDHisenl, IDEntenlev, Transmis, TransmisIDEntenlev","IDHisenl, IDEntenlev, Code_situation, Code_justification, Commentaire, Date_evenement, Transmis, TransmisIDEntenlev, pci, Heure_evenement, Routage"
"POSITION_CHAUFFEUR","11","POSITION_CHAUFFEUR","POSITION_CHAUFFEUR","_127_0_0_1_Opentrans","IDPOSITION_CHAUFFEUR, IDChauffeur","IDPOSITION_CHAUFFEUR, IDChauffeur, code_tourn�e, date_tournee, Latitude, Longitude, Altitude, Vitesse, EnPause, DateHeurePosition, DateHeureReception"
"SasEmballage","11","SasEmballage","Expedition_Emballage2","_127_0_0_1_Opentrans","IDEsasedi_emballage, IDsasedi, IDClient_TypeEmballage","IDEsasedi_emballage, IDsasedi, Code_emballage, Libelle, Nombre_unite, Poids, volume, Type_de_marquage, IDEntifiant_equipement, IDEntifiant_regroupement, IDClient_TypeEmballage"
"Pays","11","Pays","Pays","_127_0_0_1_Opentrans","IDPays, Code_Pays, Libelle","IDPays, Code_Pays, Libelle, Control_localite, Pays_par_defaut, Taille_departement, Taille_Num_tel, Indicatif_Telephonique, Code_Gls, Extraction_Dept_gls, Code_Iso"
"ListeFacturation","11","ListeFacturation","EntCompta1","_127_0_0_1_Opentrans","IDListefacturation, Num_compte_client, date_facture, cle_unique_agence","IDListefacturation, Numero_facture, Num_compte_client, Nom_client, f_a, date_facture, Date_echeance, Montant_facture, cle_unique_agence, montant_tva, Montant_HT"
"BornePoids","11","BornePoids","BornePoids","_127_0_0_1_Opentrans","IDBornePoids, cle_unique_agence, code_borne, borne_cle_unique, cle_unique_agencecode_borne","IDBornePoids, cle_unique_agence, code_borne, Borne_de_poids, Type, SANSARRONDI, ARRONDI10, ARRONDI100, PRIX_AU, borne_cle_unique, cle_unique_agencecode_borne"
"internet","11","internet","internet","_127_0_0_1_Opentrans","I1CLEUNIK","I1CLEUNIK, Utilisateur, Mot_de_passe, Nom_connexion, Imprimante, Smtp, Pop3, email_exp, Caractere_d_encadrement, Email_editrack, Port"
"Contact","11","Contact","Contact","_127_0_0_1_Opentrans","Idcontact, cle_unique_agencecode_clients","Idcontact, cle_unique_agence, code_clients, Nom, Prenom, Num_fax, Num_tel, Gsm, Type_contact, cle_unique_agencecode_clients, Email_contact"
"Tournee","11","Tournee","Tournee","_127_0_0_1_Opentrans","IDTournee, cle_unique_agence, Libelle, Agence_tournee, Agence_chauffeur, Code_regroupement, cle_unique_agenceCode_regroupement","IDTournee, code_tourn�e, cle_unique_agence, Libelle, Code_chauffeur, Agence_tournee, Agence_chauffeur, IDClients, Valorisation_journaliere_enlevement, Code_regroupement, cle_unique_agenceCode_regroupement"
"temp_regroup_sasedi","11","temp_regroup_sasedi","temp_regroup_sasedi","_127_0_0_1_Opentrans","IDtemp_regroup_sasedi, IDsasedi, Recepisse, OptimCleComp_Ville_Recep_Numdi_Nom_d_Code__Ad2_Ad1","IDtemp_regroup_sasedi, IDsasedi, Recepisse, Nom_destinataire, Ad1, Ad2, Code_postal, Ville, Qte_taxable, Numdisque, OptimCleComp_Ville_Recep_Numdi_Nom_d_Code__Ad2_Ad1"
"EntCompta","11","EntCompta","EntCompta","_127_0_0_1_Opentrans","IDEntCompta, Numero_de_serie","IDEntCompta, Numero_de_serie, Numero_facture, Num_compte_client, Nom_client, f_a, date_facture, Date_echeance, Montant_facture, IDClients, IDFacture_Entete"
"Expedition_Emballage","11","Expedition_Emballage","Expedition_Emballage","_127_0_0_1_Opentrans","IDExpedition_Emballage, IDExpedition, IDClient_TypeEmballage","IDExpedition_Emballage, IDExpedition, Code_emballage, Libelle, Nombre_unite, Poids, volume, Type_de_marquage, IDEntifiant_equipement, IDEntifiant_regroupement, IDClient_TypeEmballage"
"Expediteurs","11","Expediteurs","Expediteurs","_127_0_0_1_Opentrans","IDExpediteurs, IDClients, IDClientsNomAdresse1Code_postalVille","IDExpediteurs, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_postal, Ville, Telephone, IDClients, IDClientsNomAdresse1Code_postalVille"
"UserCaisse","10","UserCaisse","UserCaisse","_127_0_0_1_Opentrans","IDUserCaisse, IDUtilisateur, date_livre_de_caisse, IDUtilisateurdate_livre_de_caisse, cloture_caisse, IDUtilisateurcloture_caisse, IDUtilisateurdate_livre_de_caisseheure_caisseremise_en_banque","IDUserCaisse, IDUtilisateur, date_livre_de_caisse, Montant_caisse, IDUtilisateurdate_livre_de_caisse, heure_caisse, remise_en_banque, cloture_caisse, IDUtilisateurcloture_caisse, IDUtilisateurdate_livre_de_caisseheure_caisseremise_en_banque"
"Stat_temp","10","Stat_temp","Stattemp","","IDStat_temp, cle_unique_agence","IDStat_temp, cle_unique_agence, code_clients, code_produit, Colis, Poids, Nb_pos, Chiffre_d_affaire, Taxes_Fixe, Avoir"
"Listefac","10","Listefac","Listefac","_127_0_0_1_Opentrans","IDListefac, cle_unique_agence, cle_liste","IDListefac, cle_unique_agence, Compte_payeur, Date_facturation, Date_echeance, Numero_Facture, code_tva, Hors_taxe, cle_liste, Editer"
"Incoterm","10","Incoterm","Incoterm","_127_0_0_1_Opentrans","IDIncoterm, code_incoterm","IDIncoterm, code_incoterm, Libelle_incoterm, Taxation_vd, Taxation_traction, Document_a_fournir, Taxe_additionnelle, facturation_destinataire, Taxation_traction_enlevement, Taxe_additionnelle_enlevement"
"temp_statcli_gen","10","temp_statcli_gen","statcli_gen1","_127_0_0_1_Opentrans","IDtemp_statcli_gen, idclient, AAMM, Numdisque","IDtemp_statcli_gen, idclient, Nb_pos, Nb_colis, Poids, Ca_periode, sst, Nb_Avis_souffrance_periode, AAMM, Numdisque"
"Factor","10","Factor","Factor","_127_0_0_1_Opentrans","IDFactor, cle_unique_agence","IDFactor, cle_unique_agence, Nom, Ad1, Ad2, Code_Pays, Code_Postal, Ville, Num_tel, Commentaire"
"arch_Pci","10","arch_Pci","Pci1","_127_0_0_1_Opentrans","IDPci, Pci_expedition, IDExpedition, Regul_dechargement, IDExpeditionColis, Transmis_vers_site_central","IDPci, Pci_expedition, Colis, IDExpedition, Scanee_dechargement, Regul_dechargement, IDExpeditionColis, Transmis_vers_site_central, Reference_unique_gls, Colis_totaux"
"Remise","9","Remise","Remise","_127_0_0_1_Opentrans","IDRemise, cle_unique_agence, cle_unique_agenceCode_liste","IDRemise, cle_unique_agence, Code_liste, cle_unique_agenceCode_liste, Libelle, Interface_d_exportation, Repertoire_d_emission, Nom_fichier_emission, repertoire_temporaire"
"EdiCli","9","EdiCli","EdiCli","_127_0_0_1_Opentrans","IDEdiCli, IDClients, Numero_de_serie","IDEdiCli, IDClients, Code_produit, Sel_qte_taxable, Numero_de_serie, Regime_En_Reception, Compte_de_facturation, Code_produit_emetteur, Compte_de_facturation_emis"
"Banque","9","Banque","Banque","_127_0_0_1_Opentrans","IDBanque, Type_factu, Code_validation, Type_factuCode_validation","IDBanque, Type_factu, Code_validation, Compte_payeur, Date_facturation, Date_prelevement, Num_facture, Montant, Type_factuCode_validation"
